movieId,title,genres,year
1,Toy Story (1995),"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",1995.0
2,Jumanji (1995),"['Adventure', 'Children', 'Fantasy']",1995.0
3,Grumpier Old Men (1995),"['Comedy', 'Romance']",1995.0
4,Waiting to Exhale (1995),"['Comedy', 'Drama', 'Romance']",1995.0
5,Father of the Bride Part II (1995),['Comedy'],1995.0
6,Heat (1995),"['Action', 'Crime', 'Thriller']",1995.0
7,Sabrina (1995),"['Comedy', 'Romance']",1995.0
8,Tom and Huck (1995),"['Adventure', 'Children']",1995.0
9,Sudden Death (1995),['Action'],1995.0
10,GoldenEye (1995),"['Action', 'Adventure', 'Thriller']",1995.0
11,"American President, The (1995)","['Comedy', 'Drama', 'Romance']",1995.0
12,Dracula: Dead and Loving It (1995),"['Comedy', 'Horror']",1995.0
13,Balto (1995),"['Adventure', 'Animation', 'Children']",1995.0
14,Nixon (1995),['Drama'],1995.0
15,Cutthroat Island (1995),"['Action', 'Adventure', 'Romance']",1995.0
16,Casino (1995),"['Crime', 'Drama']",1995.0
17,Sense and Sensibility (1995),"['Drama', 'Romance']",1995.0
18,Four Rooms (1995),['Comedy'],1995.0
19,Ace Ventura: When Nature Calls (1995),['Comedy'],1995.0
20,Money Train (1995),"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",1995.0
21,Get Shorty (1995),"['Comedy', 'Crime', 'Thriller']",1995.0
22,Copycat (1995),"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",1995.0
23,Assassins (1995),"['Action', 'Crime', 'Thriller']",1995.0
24,Powder (1995),"['Drama', 'Sci-Fi']",1995.0
25,Leaving Las Vegas (1995),"['Drama', 'Romance']",1995.0
26,Othello (1995),['Drama'],1995.0
27,Now and Then (1995),"['Children', 'Drama']",1995.0
28,Persuasion (1995),"['Drama', 'Romance']",1995.0
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)","['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",1995.0
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),"['Crime', 'Drama']",1995.0
31,Dangerous Minds (1995),['Drama'],1995.0
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"['Mystery', 'Sci-Fi', 'Thriller']",1995.0
34,Babe (1995),"['Children', 'Drama']",1995.0
36,Dead Man Walking (1995),"['Crime', 'Drama']",1995.0
38,It Takes Two (1995),"['Children', 'Comedy']",1995.0
39,Clueless (1995),"['Comedy', 'Romance']",1995.0
40,"Cry, the Beloved Country (1995)",['Drama'],1995.0
41,Richard III (1995),"['Drama', 'War']",1995.0
42,Dead Presidents (1995),"['Action', 'Crime', 'Drama']",1995.0
43,Restoration (1995),['Drama'],1995.0
44,Mortal Kombat (1995),"['Action', 'Adventure', 'Fantasy']",1995.0
45,To Die For (1995),"['Comedy', 'Drama', 'Thriller']",1995.0
46,How to Make an American Quilt (1995),"['Drama', 'Romance']",1995.0
47,Seven (a.k.a. Se7en) (1995),"['Mystery', 'Thriller']",1995.0
48,Pocahontas (1995),"['Animation', 'Children', 'Drama', 'Musical', 'Romance']",1995.0
49,When Night Is Falling (1995),"['Drama', 'Romance']",1995.0
50,"Usual Suspects, The (1995)","['Crime', 'Mystery', 'Thriller']",1995.0
52,Mighty Aphrodite (1995),"['Comedy', 'Drama', 'Romance']",1995.0
53,Lamerica (1994),"['Adventure', 'Drama']",1994.0
54,"Big Green, The (1995)","['Children', 'Comedy']",1995.0
55,Georgia (1995),['Drama'],1995.0
57,Home for the Holidays (1995),['Drama'],1995.0
58,"Postman, The (Postino, Il) (1994)","['Comedy', 'Drama', 'Romance']",1994.0
60,"Indian in the Cupboard, The (1995)","['Adventure', 'Children', 'Fantasy']",1995.0
61,Eye for an Eye (1996),"['Drama', 'Thriller']",1996.0
62,Mr. Holland's Opus (1995),['Drama'],1995.0
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),"['Comedy', 'Crime']",1996.0
64,Two if by Sea (1996),"['Comedy', 'Romance']",1996.0
65,Bio-Dome (1996),['Comedy'],1996.0
66,Lawnmower Man 2: Beyond Cyberspace (),['Unknown'],
68,French Twist (Gazon maudit) (1995),"['Comedy', 'Romance']",1995.0
69,Friday (1995),['Comedy'],1995.0
70,From Dusk Till Dawn (1996),"['Action', 'Comedy', 'Horror', 'Thriller']",1996.0
71,Fair Game (1995),['Action'],1995.0
72,Kicking and Screaming (1995),['Unknown'],1995.0
73,"Misérables, Les (1995)","['Drama', 'War']",1995.0
74,Bed of Roses (1996),"['Drama', 'Romance']",1996.0
75,Big Bully (1996),"['Comedy', 'Drama']",1996.0
76,Screamers (1995),"['Action', 'Sci-Fi', 'Thriller']",1995.0
77,Nico Icon (1995),['Documentary'],1995.0
78,"Crossing Guard, The (1995)","['Action', 'Crime', 'Drama', 'Thriller']",1995.0
79,"Juror, The (1996)","['Drama', 'Thriller']",1996.0
80,"White Balloon, The (Badkonake sefid) (1995)","['Children', 'Drama']",1995.0
81,Things to Do in Denver When You're Dead (1995),"['Crime', 'Drama', 'Romance']",1995.0
82,Antonia's Line (Antonia) (1995),"['Comedy', 'Drama']",1995.0
83,Once Upon a Time... When We Were Colored (1995),"['Drama', 'Romance']",1995.0
85,Angels and Insects (1995),"['Drama', 'Romance']",1995.0
86,White Squall (1996),"['Action', 'Adventure', 'Drama']",1996.0
87,Dunston Checks In (1996),"['Children', 'Comedy']",1996.0
88,Black Sheep (1996),['Comedy'],1996.0
89,Nick of Time (1995),"['Action', 'Thriller']",1995.0
